"id","type_id","project_id","subject","description","due_date","category_id","status_id","assigned_to_id","priority_id","version_id","author_id","lock_version","done_ratio","estimated_hours","created_at","updated_at","start_date","responsible_id","budget_id","position","story_points","remaining_hours","derived_estimated_hours","schedule_manually","parent_id","duration","ignore_non_working_days"
"1","2","1","Start of project",NULL,"2022-10-16",NULL,"12","3","8",NULL,"3",0,0,NULL,"2022-10-19 10:10:01.678222-03","2022-10-19 10:10:01.678222-03","2022-10-16",NULL,NULL,1,NULL,NULL,NULL,False,NULL,1,True
"2","3","1","Organize open source conference",NULL,"2022-10-31",NULL,"7","3","8",NULL,"3",0,0,NULL,"2022-10-19 10:10:01.813768-03","2022-10-19 10:10:01.813768-03","2022-10-17",NULL,NULL,1,NULL,NULL,NULL,False,NULL,11,False
"4","1","1","Send invitation to speakers",NULL,"2022-10-17",NULL,"7","3","8",NULL,"3",1,0,NULL,"2022-10-19 10:10:01.905532-03","2022-10-19 10:10:01.951856-03","2022-10-17",NULL,NULL,1,NULL,NULL,NULL,False,"3",1,False
"5","1","1","Contact sponsoring partners",NULL,"2022-10-18",NULL,"1","3","8",NULL,"3",1,0,NULL,"2022-10-19 10:10:02.002893-03","2022-10-19 10:10:02.065791-03","2022-10-17",NULL,NULL,1,NULL,NULL,NULL,False,"3",2,False
"6","1","1","Create sponsorship brochure and hand-outs",NULL,"2022-10-20",NULL,"1","3","8",NULL,"3",1,0,NULL,"2022-10-19 10:10:02.11622-03","2022-10-19 10:10:02.176975-03","2022-10-17",NULL,NULL,1,NULL,NULL,NULL,False,"3",4,False
"3","1","1","Set date and location of conference",NULL,"2022-10-20",NULL,"7","3","8",NULL,"3",1,0,NULL,"2022-10-19 10:10:01.860157-03","2022-10-19 10:10:02.243245-03","2022-10-17",NULL,NULL,1,NULL,NULL,NULL,False,"2",4,False
"7","1","1","Invite attendees to conference",NULL,"2022-10-21",NULL,"1","3","8",NULL,"3",1,0,NULL,"2022-10-19 10:10:02.301981-03","2022-10-19 10:10:02.350799-03","2022-10-21",NULL,NULL,1,NULL,NULL,NULL,False,"2",1,False
"69","9","3","Prosseguir com o processo de compras de equipamentos do FabLab/Centro de Inovação.","**Indicadores:**

*   Número de processos de compras bem sucedidos.

**Fonte de informação:**

*   Relatório de compras.
*   Processos no SEI.

**Responsável:**

*   DIREC.

<figure class=""table op-uc-figure_align-center op-uc-figure""><table class=""op-uc-table""><thead class=""op-uc-table--head""><tr class=""op-uc-table--row""><th class=""op-uc-p op-uc-table--cell op-uc-table--cell_head"" style=""width:200px;"">Mês</th><th class=""op-uc-p op-uc-table--cell op-uc-table--cell_head"">Valor aferido</th></tr></thead><tbody><tr class=""op-uc-table--row""><td class=""op-uc-p op-uc-table--cell"" style=""width:200px;"">Setembro/2022</td><td class=""op-uc-p op-uc-table--cell""></td></tr><tr class=""op-uc-table--row""><td class=""op-uc-p op-uc-table--cell"" style=""width:200px;"">Outubro/2022</td><td class=""op-uc-p op-uc-table--cell""></td></tr><tr class=""op-uc-table--row""><td class=""op-uc-p op-uc-table--cell"" style=""width:200px;"">Novembro/2022</td><td class=""op-uc-p op-uc-table--cell""></td></tr><tr class=""op-uc-table--row""><td class=""op-uc-p op-uc-table--cell"" style=""width:200px;"">Dezembro/2022</td><td class=""op-uc-p op-uc-table--cell""></td></tr><tr class=""op-uc-table--row""><td class=""op-uc-p op-uc-table--cell"" style=""width:200px;"">Janeiro/2023</td><td class=""op-uc-p op-uc-table--cell""></td></tr><tr class=""op-uc-table--row""><td class=""op-uc-p op-uc-table--cell"" style=""width:200px;"">Fevereiro/2023</td><td class=""op-uc-p op-uc-table--cell""></td></tr><tr class=""op-uc-table--row""><td class=""op-uc-p op-uc-table--cell"" style=""width:200px;"">Março/2023</td><td class=""op-uc-p op-uc-table--cell""></td></tr><tr class=""op-uc-table--row""><td class=""op-uc-p op-uc-table--cell"" style=""width:200px;"">Abril/2023</td><td class=""op-uc-p op-uc-table--cell""></td></tr><tr class=""op-uc-table--row""><td class=""op-uc-p op-uc-table--cell"" style=""width:200px;"">Maio/2023</td><td class=""op-uc-p op-uc-table--cell""></td></tr><tr class=""op-uc-table--row""><td class=""op-uc-p op-uc-table--cell"" style=""width:200px;"">Junho/2023</td><td class=""op-uc-p op-uc-table--cell""></td></tr><tr class=""op-uc-table--row""><td class=""op-uc-p op-uc-table--cell"" style=""width:200px;"">Julho/2023</td><td class=""op-uc-p op-uc-table--cell""></td></tr></tbody></table></figure>",NULL,"5","7",NULL,"8",NULL,"5",4,0,NULL,"2022-10-20 17:18:22.887919-03","2022-10-24 09:56:10.702196-03",NULL,"9",NULL,1,NULL,NULL,NULL,False,"48",NULL,False
"8","1","1","Setup conference website",NULL,"2022-10-31",NULL,"1","3","8",NULL,"3",1,0,NULL,"2022-10-19 10:10:02.397548-03","2022-10-19 10:10:02.458081-03","2022-10-21",NULL,NULL,1,NULL,NULL,NULL,False,"2",7,False
"9","2","1","Conference",NULL,"2022-11-01",NULL,"6","3","8",NULL,"3",0,0,NULL,"2022-10-19 10:10:02.537705-03","2022-10-19 10:10:02.537705-03","2022-11-01",NULL,NULL,1,NULL,NULL,NULL,False,NULL,1,False
"10","3","1","Follow-up tasks",NULL,"2022-11-17",NULL,"5","3","8",NULL,"3",0,0,NULL,"2022-10-19 10:10:02.596167-03","2022-10-19 10:10:02.596167-03","2022-11-07",NULL,NULL,1,NULL,NULL,NULL,False,NULL,9,False
